epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,27097.9,0.98046,0.5532,1.0958,0.84121,0.82403,0.86715,0.47465,1.43261,0.69182,1.52422,0.000330078,0.000330078,0.000330078
73,27476.9,0.98687,0.55787,1.1022,0.88419,0.82122,0.86439,0.47827,1.41689,0.67163,1.53261,0.000319079,0.000319079,0.000319079
74,27855.4,0.97362,0.547,1.09627,0.8706,0.87104,0.88391,0.48963,1.42208,0.67884,1.53627,0.00030808,0.00030808,0.00030808
75,28235,0.97464,0.55633,1.09773,0.89828,0.75736,0.84054,0.46414,1.42777,0.68984,1.52651,0.000297081,0.000297081,0.000297081
76,28608.4,0.96533,0.54561,1.0877,0.87397,0.82686,0.86745,0.47771,1.41169,0.68141,1.51962,0.000286083,0.000286083,0.000286083
77,28989.4,0.95104,0.54187,1.07945,0.83361,0.82049,0.84149,0.476,1.41273,0.67767,1.52425,0.000275084,0.000275084,0.000275084
78,29368.2,0.95755,0.54133,1.0852,0.81529,0.81342,0.84053,0.47429,1.41209,0.68905,1.5238,0.000264085,0.000264085,0.000264085
79,29744.7,0.95613,0.53644,1.08872,0.8606,0.8222,0.87493,0.47582,1.4119,0.67019,1.52594,0.000253086,0.000253086,0.000253086
80,30125.1,0.95877,0.53023,1.07714,0.82322,0.83379,0.8645,0.48139,1.43313,0.67085,1.54105,0.000242087,0.000242087,0.000242087
81,30505.1,0.94672,0.52704,1.07748,0.86028,0.80649,0.84573,0.47218,1.41753,0.67035,1.51647,0.000231088,0.000231088,0.000231088
82,30888.4,0.93386,0.5264,1.08418,0.86497,0.77841,0.83509,0.48022,1.40294,0.67598,1.52813,0.000220089,0.000220089,0.000220089
83,31268.5,0.93055,0.52428,1.08042,0.87591,0.7683,0.83879,0.47684,1.43048,0.67123,1.54418,0.00020909,0.00020909,0.00020909
84,31651.9,0.94672,0.52185,1.06965,0.83842,0.77928,0.82854,0.46917,1.41868,0.68536,1.53088,0.000198091,0.000198091,0.000198091
